Garden,Location,Time,VWC_15,Temp_15,VWC_30,Temp_30,VWC_45,Temp_45
CDG,NE,2015-05-24T00:00:00Z,0.169746386056597,55.8581819274209,0.165246670219031,55.4490909403021,0.133733225139705,55.1709089972756
CDG,NE,2015-05-25T00:00:00Z,0.164601967980464,56.8174998998642,0.164040801425775,55.565000128746,0.132541360333562,54.965000128746
CDG,NE,2015-05-26T00:00:00Z,0.167186548312505,58.152500128746,0.165714629615347,56.6450001716614,0.133469323938092,55.5724996566773
CDG,NE,2015-05-27T00:00:00Z,0.169744682808717,59.9975000143051,0.16661573946476,57.6125000715256,0.133832946419716,56.1500000715256
CDG,NE,2015-05-28T00:00:00Z,0.173983891184131,63.072499871254,0.16929584244887,59.7799999713898,0.134939790392915,57.5149999141693
CDG,NE,2015-05-29T00:00:00Z,0.175443614522616,63.8150000572205,0.17105466624101,61.2199999570847,0.136424589281281,58.9774999141693
CDG,NE,2015-05-30T00:00:00Z,0.177786270777384,65.3075001716614,0.172382701809208,62.2625001430511,0.137273530165354,59.9149998426437
CDG,NE,2015-05-31T00:00:00Z,0.180817369992534,67.3175001144409,0.174512475728989,63.7250001430511,0.138427370538314,61.1075001716614
CDG,NE,2015-06-01T00:00:00Z,0.184649212285876,70.1149999141693,0.177148508528868,65.8925001144409,0.139830205589533,62.6525004863739
CDG,NE,2015-06-02T00:00:00Z,0.187068764741222,71.8324997425079,0.179607016965747,67.9475000858307,0.141247084985177,64.4525004863739
CDG,NE,2015-06-03T00:00:00Z,0.187132666508357,71.7575003147125,0.180384540309509,68.5850000858307,0.142106180389722,65.4724995136261
CDG,NE,2015-06-04T00:00:00Z,0.186352126921217,70.9325000286102,0.180385435000062,68.5925001144409,0.142642366389434,65.9750002861023
CDG,NE,2015-06-05T00:00:00Z,0.186891794825594,71.0150002002716,0.180368547017376,68.4124998569488,0.142874381194512,66.072500371933
CDG,NE,2015-06-06T00:00:00Z,0.188104768594106,67.2724997997284,0.179873465870818,67.2425001144409,0.144139975309372,66.0125001430511
CDG,NE,2015-06-07T00:00:00Z,0.188029941171408,62.6675001859665,0.175684719036023,63.9575000286102,0.142640825361013,64.1299999713898
CDG,NE,2015-06-08T00:00:00Z,0.20898335861663,64.8124999284744,0.174764230847359,63.4474997997284,0.141103936980168,62.8474997997284
CDG,NE,2015-06-09T00:00:00Z,0.216917231678963,68.6300001144409,0.177165281648437,65.4950000286102,0.141605135674278,63.6200003147125
CDG,NE,2015-06-10T00:00:00Z,0.219192773103714,69.3424999713898,0.178994779785474,66.8225000858307,0.142766859382391,64.7900002002716
CDG,NE,2015-06-11T00:00:00Z,0.219239397595326,67.4599999427795,0.179012211039662,66.4849997997284,0.142963215087851,65.0974992275238
CDG,NE,2015-06-12T00:00:00Z,0.229871407772104,64.3250001430511,0.17768444865942,64.7899994850159,0.143141891186436,64.3699997425079
CDG,NE,2015-06-13T00:00:00Z,0.241289282838504,63.6049997568131,0.175134416669607,63.2974996566772,0.141676694154739,63.1775000572205
CDG,NE,2015-06-14T00:00:00Z,0.243274661401908,65.0825000286102,0.17581828062733,63.8600000858307,0.141426283866167,63.0575003147125
CDG,NE,2015-06-15T00:00:00Z,0.243909352769454,68.4199998855591,0.177879470710953,65.3675004005432,0.141748282437523,63.6275003433228
CDG,NE,2015-06-16T00:00:00Z,0.245974963530898,72.65,0.181585301334659,68.3749997138977,0.143106154476603,65.4050002574921
CDG,NE,2015-06-17T00:00:00Z,0.245778640111287,75.0725000858307,0.18474202354749,70.9549999713898,0.144941110163927,67.5199993133545
CDG,NE,2015-06-18T00:00:00Z,0.243961773812771,75.5674996852875,0.18611572869122,72.1024999141693,0.146024590358138,68.9599997997284
CDG,NE,2015-06-19T00:00:00Z,0.241801062598825,75.6949997425079,0.18662095690767,72.4099999427795,0.14676943855981,69.5974997997284
CDG,NE,2015-06-20T00:00:00Z,0.239996140822768,76.3700001716614,0.187728023777405,73.152499628067,0.14733591551582,70.3250004291534
CDG,NE,2015-06-21T00:00:00Z,0.23773782265683,76.6474997997284,0.188362301016847,73.6325000286102,0.14790216833353,70.8799996852875
CDG,NE,2015-06-22T00:00:00Z,0.235319365436832,77.3750001430512,0.189286277939876,74.2625,0.148255509634813,71.4649997711182
CDG,NE,2015-06-23T00:00:00Z,0.232403771330913,77.9675002574921,0.190096459661921,74.8774999141693,0.148679145301382,72.0725002288818
CDG,NE,2015-06-24T00:00:00Z,0.229600888987382,78.8,0.191033270830909,75.5375001430511,0.149331958343585,72.6799995422363
CDG,NE,2015-06-25T00:00:00Z,0.223482742284735,77.3974999427795,0.190858198329806,75.5075000286102,0.149561109021306,73.1374998569488
CDG,NE,2015-06-26T00:00:00Z,0.217867149660985,76.0324998855591,0.189353613803784,74.3375,0.149296790361404,72.6050002574921
CDG,NE,2015-06-27T00:00:00Z,0.215217081209024,77.8400002002716,0.190079483514031,74.8324998855591,0.149102647478382,72.5224999427795
CDG,NE,2015-06-28T00:00:00Z,0.210580327858528,79.4375,0.19156638532877,76.1824997425079,0.149701822549105,73.4674999713898
CDG,NE,2015-06-29T00:00:00Z,0.204803138971329,79.4299999713898,0.191905979687969,76.7075000286102,0.150106915583213,74.1125004291534
CDG,NE,2015-06-30T00:00:00Z,0.199718339989583,80.0674996852875,0.191970163956285,77.1274999141693,0.150142097224792,74.5474996566772
CDG,NE,2015-07-01T00:00:00Z,0.195746798068285,80.975,0.192098712548614,77.7350000858307,0.150142097224792,75.0574998855591
